product,console,variant,type,market_price,old_price,new_price,diff,profit,status
Adidas Power Soccer - PS1 Game,Playstation,game only,loose,6.19,6.99,8.99,2.00,2.24,APPLIED
Adidas Power Soccer - PS1 Game,Playstation,complete (cib),cib,32.76,15.99,44.99,29.00,10.63,APPLIED
Adidas Power Soccer 98 - PS1 Game,Playstation,complete (cib),cib,32.76,9.41,44.99,35.58,10.63,APPLIED
Advance Wars - GBA Game,Gameboy Advance,complete (cib),cib,99.73,55.13,134.99,79.86,31.05,APPLIED
Advance Wars 2 - GBA Game,Gameboy Advance,complete (cib),cib,60.00,44.95,81.99,37.04,19.31,APPLIED
Advent Rising - Xbox Game,Xbox,complete (cib),cib,8.84,6.30,11.99,5.69,2.50,APPLIED
Adventure Island - NES Game,NES,complete (cib),cib,41.29,15.02,55.99,40.97,12.78,APPLIED
Adventure Island 3 - NES Game,NES,,,,,,,,NO_MATCH
Adventure Island II - Gameboy Game,Gameboy,complete (cib),cib,163.50,31.36,220.99,189.63,50.78,APPLIED
Adventure Island II - NES Game,NES,complete (cib),cib,64.13,37.42,86.99,49.57,20.04,APPLIED
Adventures Cookie and Cream - PS2 Game,Playstation 2,game only,loose,18.05,27.44,24.99,-2.45,5.92,APPLIED
Adventures Cookie and Cream - PS2 Game,Playstation 2,complete (cib),cib,22.80,27.44,30.99,3.55,6.99,APPLIED
Adventures in the Magic Kingdom - NES Game,NES,game only,loose,8.87,12.99,11.99,-1.00,2.47,APPLIED
Adventures in the Magic Kingdom - NES Game,NES,complete (cib),cib,39.99,13.67,53.99,40.32,12.13,APPLIED
Adventures of Batman and Robin - Sega Genesis Game,Sega Genesis,complete (cib),cib,124.98,42.91,168.99,126.08,38.81,APPLIED
Adventures of Bayou Billy - NES Game,NES,complete (cib),cib,39.99,9.72,53.99,44.27,12.13,APPLIED
Adventures of Dino Riki - NES Game,NES,,,,,,,,NO_MATCH
Adventures of Dr Franken - SNES Game,SNES,,,,,,,,NO_MATCH
Adventures of Lolo - NES Game,NES,complete (cib),cib,52.36,18.84,70.99,52.15,16.27,APPLIED
Adventures of Lolo 2 - NES Game,NES,game only,loose,39.06,19.99,52.99,33.00,12.09,APPLIED
Adventures of Lolo 2 - NES Game,NES,complete (cib),cib,91.69,70.99,123.99,53.00,28.40,APPLIED
Adventures of Lolo 3 - NES Game,NES,game only,loose,64.99,108.04,87.99,-20.05,20.15,APPLIED
Adventures of Lolo 3 - NES Game,NES,complete (cib),cib,159.00,70.99,214.99,144.00,49.46,APPLIED
Adventures of Lomax - PS1 Game,Playstation,,,,,,,,NO_MATCH
Adventures of Mighty Max - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Adventures of Rad Gravity - NES Game,NES,game only,loose,24.99,19.99,33.99,14.00,7.71,APPLIED
Adventures of Rad Gravity - NES Game,NES,complete (cib),cib,67.49,40.44,91.99,51.55,21.53,APPLIED
Adventures of Tom Sawyer - NES Game,NES,,,,,,,,NO_MATCH
Adventures of Willy Beamish - Sega CD Game,Sega CD,,,,,,,,NO_MATCH
Adventures to Go - PSP Game,PSP,complete (cib),cib,11.00,6.53,14.99,8.46,3.26,APPLIED
Aedis Eclipse Generation of Chaos - PSP Game,PSP,,,,,,,,NO_MATCH
Aerial Assault - Sega Master System Game,Sega Master System,game only,loose,31.74,13.99,42.99,29.00,9.70,APPLIED
Aerial Assault - Sega Master System Game,Sega Master System,complete (cib),cib,82.49,15.56,111.99,96.43,25.95,APPLIED
Aero the Acro-Bat - Sega Genesis Game,Sega Genesis,complete (cib),cib,28.59,14.85,38.99,24.14,8.97,APPLIED
Aero the Acro-Bat - SNES Game,SNES,,,,,,,,NO_MATCH
Aero the Acro-Bat 2 - SNES Game,SNES,,,,,,,,NO_MATCH
Aerofighters Assault - Nintendo 64 Game,Nintendo 64,complete (cib),cib,65.83,18.84,88.99,70.15,20.28,APPLIED
