product,console,source,loose_price,old_cib,new_cib,ratio,status,notes
Crash 'n' the Boys: Street Challenge - NES Game,NES,synthetic_outlier_guard(ebay_was_459.08_n=3),68.99,98.99,124.99,1.81,APPLIED,diff=26.0
Crazy Frog Arcade Racer - PS2 Game,Playstation 2,synthetic_ratio_repair(ebay_was_12.13),17.10,29.99,30.99,1.81,APPLIED,diff=1.0
Crimson Gem Saga - PSP Game,PSP,synthetic_ratio_repair(ebay_was_64.37),68.99,96.99,124.99,1.81,APPLIED,diff=28.0
Cruis'n Exotica - Gameboy Color Game,Gameboy Color,synthetic_outlier_guard(ebay_was_87.39_n=3),19.99,31.99,35.99,1.80,APPLIED,diff=4.0
Cruis'n Exotica - Nintendo 64 Game,Nintendo 64,synthetic_ratio_repair,21.99,87.99,39.99,1.82,APPLIED,diff=-48.0
Cruis'n Velocity - GBA Game,Gameboy Advance,synthetic_ratio_repair,15.99,26.99,28.99,1.81,APPLIED,diff=2.0
Crushed Baseball - GBA Game,Gameboy Advance,synthetic_outlier_guard(ebay_was_72.49_n=6),9.82,16.99,17.99,1.83,APPLIED,diff=1.0
Crystal Quest - Gameboy Game,Gameboy,synthetic_ratio_repair,24.99,35.99,44.99,1.80,APPLIED,diff=9.0
Cyberstadium Series Base Wars - NES Game,NES,synthetic_ratio_repair,16.99,21.99,30.99,1.82,APPLIED,diff=9.0
Dash Galaxy in the Alien Asylum - NES Game,NES,ebay(12),14.99,13.99,53.99,3.60,APPLIED,diff=40.0
Dashin' Desperadoes - Sega Genesis Game,Sega Genesis,ebay(4),40.99,46.99,65.99,1.61,APPLIED,diff=19.0
David Crane's Amazing Tennis - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair(ebay_was_10.11),14.99,13.99,26.99,1.80,APPLIED,diff=13.0
Davis Cup Tennis - GBA Game,Gameboy Advance,synthetic_ratio_repair,14.99,6.99,26.99,1.80,APPLIED,diff=20.0
Dead in the Water - PS1 Game,Playstation,synthetic_ratio_repair,17.99,23.99,32.99,1.83,APPLIED,diff=9.0
Deception III Dark Delusion - PS1 Game,Playstation,ebay(3),51.99,169.99,149.99,2.88,APPLIED,diff=-20.0
Deer Drive Legends - Wii Game,Wii,synthetic_ratio_repair(ebay_was_7.36),34.99,76.99,62.99,1.80,APPLIED,diff=-14.0
Deer Hunter - PS2 Game,Playstation 2,synthetic_ratio_repair(ebay_was_7.35),11.12,19.99,20.99,1.89,APPLIED,diff=1.0
Desert Strike Advance - GBA Game,Gameboy Advance,synthetic_ratio_repair,51.99,42.99,93.99,1.81,APPLIED,diff=51.0
