id	custom_label_0	custom_label_2
shopify_ZZ_7956601241634_43794753945634	under_20	game
shopify_ZZ_7956601241634_43794685984802	under_20	game
shopify_ZZ_7956601307170_43794753978402	over_50	game
shopify_ZZ_7956601307170_43794685952034	over_50	game
shopify_ZZ_7956601339938_43794754011170	20_to_50	game
shopify_ZZ_7956601339938_43794685919266	20_to_50	game
shopify_ZZ_7956601372706_43794754043938	under_20	game
shopify_ZZ_7956601372706_43794685886498	under_20	game
shopify_ZZ_7956601405474_43794754076706	under_20	game
shopify_ZZ_7956601405474_43794685853730	under_20	game
shopify_ZZ_7956601438242_43794754175010	under_20	game
shopify_ZZ_7956601438242_43794685820962	under_20	game
shopify_ZZ_7956601471010_43794754207778	over_50	game
shopify_ZZ_7956601471010_43794685788194	over_50	game
shopify_ZZ_7956601503778_43794754142242	20_to_50	game
shopify_ZZ_7956601503778_43794685526050	20_to_50	game
shopify_ZZ_7956601536546_43794754240546	under_20	game
shopify_ZZ_7956601536546_43794685493282	under_20	game
shopify_ZZ_7956601569314_43794754273314	under_20	game
shopify_ZZ_7956601569314_43794685460514	under_20	game
shopify_ZZ_7956601602082_43794754306082	under_20	game
shopify_ZZ_7956601602082_43794685427746	under_20	game
shopify_ZZ_7956601634850_43794754404386	under_20	game
shopify_ZZ_7956601634850_43794685394978	under_20	game
shopify_ZZ_7956601667618_43794754338850	under_20	game
shopify_ZZ_7956601667618_43794685362210	under_20	game
shopify_ZZ_7956601700386_43794754371618	under_20	game
shopify_ZZ_7956601700386_43794685329442	under_20	game
shopify_ZZ_7956601765922_43794754437154	20_to_50	game
shopify_ZZ_7956601765922_43794685296674	20_to_50	game
shopify_ZZ_7956601798690_43794754469922	under_20	game
shopify_ZZ_7956601798690_43794685263906	under_20	game
shopify_ZZ_7956601831458_43794754502690	under_20	game
shopify_ZZ_7956601831458_43794685231138	under_20	game
shopify_ZZ_7956601864226_43794754568226	over_50	game
shopify_ZZ_7956601864226_43794685198370	over_50	game
shopify_ZZ_7956601896994_43794754535458	20_to_50	game
shopify_ZZ_7956601896994_43794685165602	20_to_50	game
shopify_ZZ_7956601929762_43794754600994	20_to_50	game
shopify_ZZ_7956601929762_43794685132834	20_to_50	game
shopify_ZZ_7956601962530_43794754633762	20_to_50	game
shopify_ZZ_7956601962530_43794685100066	20_to_50	game
shopify_ZZ_7956601995298_43794754666530	20_to_50	game
shopify_ZZ_7956601995298_43794685067298	20_to_50	game
shopify_ZZ_7956602028066_43794754699298	over_50	game
shopify_ZZ_7956602028066_43794685034530	over_50	game
shopify_ZZ_7956602060834_43794754732066	20_to_50	game
shopify_ZZ_7956602060834_43794685001762	20_to_50	game
shopify_ZZ_7956602093602_43794754797602	under_20	game
shopify_ZZ_7956602093602_43794684968994	under_20	game
shopify_ZZ_7956602126370_43794754764834	under_20	game
shopify_ZZ_7956602126370_43794684936226	under_20	game
shopify_ZZ_7956602159138_43794754830370	20_to_50	game
shopify_ZZ_7956602159138_43794684903458	20_to_50	game
shopify_ZZ_7956602191906_43794754895906	20_to_50	game
shopify_ZZ_7956602191906_43794684870690	20_to_50	game
shopify_ZZ_7956602224674_43794754863138	20_to_50	game
shopify_ZZ_7956602224674_43794684837922	20_to_50	game
shopify_ZZ_7956602257442_43794754928674	under_20	game
shopify_ZZ_7956602257442_43794684805154	under_20	game
shopify_ZZ_7956602290210_43794755616802	under_20	game
shopify_ZZ_7956602290210_43794684772386	under_20	game
shopify_ZZ_7956602322978_43794754994210	over_50	game
shopify_ZZ_7956602322978_43794684739618	over_50	game
shopify_ZZ_7956602355746_43794755026978	20_to_50	game
shopify_ZZ_7956602355746_43794684641314	20_to_50	game
shopify_ZZ_7956602388514_43794755584034	20_to_50	game
shopify_ZZ_7956602388514_43794684608546	20_to_50	game
shopify_ZZ_7956602421282_43794755649570	20_to_50	game
shopify_ZZ_7956602421282_43794684575778	20_to_50	game
shopify_ZZ_7956602454050_43794755682338	under_20	game
shopify_ZZ_7956602454050_43794684543010	under_20	game
shopify_ZZ_7956602519586_43794755715106	20_to_50	game
shopify_ZZ_7956602519586_43794684510242	20_to_50	game
shopify_ZZ_7956602552354_43794755747874	under_20	game
shopify_ZZ_7956602552354_43794684248098	under_20	game
shopify_ZZ_7956602585122_43794755780642	under_20	game
shopify_ZZ_7956602585122_43794684215330	under_20	game
shopify_ZZ_7956602617890_43794755813410	under_20	game
shopify_ZZ_7956602617890_43794684182562	under_20	game
shopify_ZZ_7956602650658_43794755911714	under_20	game
shopify_ZZ_7956602650658_43794684149794	under_20	game
shopify_ZZ_7956602683426_43794755846178	over_50	game
shopify_ZZ_7956602683426_43794684117026	over_50	game
shopify_ZZ_7956602716194_43794755878946	over_50	game
shopify_ZZ_7956602716194_43794684051490	over_50	game
shopify_ZZ_7956602748962_43794755944482	over_50	game
shopify_ZZ_7956602748962_43794684018722	over_50	game
shopify_ZZ_7956602781730_43794755977250	under_20	game
shopify_ZZ_7956602781730_43794683985954	under_20	game
shopify_ZZ_7956602814498_43794756010018	20_to_50	game
shopify_ZZ_7956602814498_43794683953186	20_to_50	game
shopify_ZZ_7956602847266_43794756042786	under_20	game
shopify_ZZ_7956602847266_43794683920418	under_20	game
shopify_ZZ_7956602880034_43794756075554	under_20	game
shopify_ZZ_7956602880034_43794683887650	under_20	game
shopify_ZZ_7956602912802_43794756108322	under_20	game
shopify_ZZ_7956602912802_43794683854882	under_20	game
shopify_ZZ_7956602945570_43794756141090	under_20	game
shopify_ZZ_7956602945570_43794683822114	under_20	game
shopify_ZZ_7956602978338_43794756173858	20_to_50	game
shopify_ZZ_7956602978338_43794683789346	20_to_50	game
shopify_ZZ_7956603011106_43794756239394	under_20	game
shopify_ZZ_7956603011106_43794683756578	under_20	game
shopify_ZZ_7956603043874_43794756272162	under_20	game
shopify_ZZ_7956603043874_43794683723810	under_20	game
shopify_ZZ_7956603076642_43794756206626	over_50	game
shopify_ZZ_7956603076642_43794683691042	over_50	game
shopify_ZZ_7956603109410_43794756304930	20_to_50	game
shopify_ZZ_7956603109410_43794683658274	20_to_50	game
shopify_ZZ_7956603142178_43794756337698	over_50	game
shopify_ZZ_7956603142178_43794683625506	over_50	game
shopify_ZZ_7956603174946_43794756436002	under_20	game
shopify_ZZ_7956603174946_43794683592738	under_20	game
shopify_ZZ_7956603240482_43794756501538	under_20	game
shopify_ZZ_7956603240482_43794683559970	under_20	game
shopify_ZZ_7956603273250_43794756370466	under_20	game
shopify_ZZ_7956603273250_43794683527202	under_20	game
shopify_ZZ_7956603306018_43794756403234	under_20	game
