id,excluded_destination
shopify_US_7956605927458_43794681266210,Shopping_ads
shopify_US_7956605960226_43794681233442,Shopping_ads
shopify_US_7956605992994_43794681200674,Shopping_ads
shopify_US_7956606025762_43794681167906,Shopping_ads
shopify_US_7956606058530_43794681135138,Shopping_ads
shopify_US_7956606091298_43794681102370,Shopping_ads
shopify_US_7956606156834_43794681069602,Shopping_ads
shopify_US_7956606189602_43794681036834,Shopping_ads
shopify_US_7956606222370_43794681004066,Shopping_ads
shopify_US_7956606255138_43794680971298,Shopping_ads
shopify_US_7956606320674_43794680938530,Shopping_ads
shopify_US_7956606353442_43794680905762,Shopping_ads
shopify_US_7956606386210_43794680840226,Shopping_ads
shopify_US_7956606418978_43794680807458,Shopping_ads
shopify_US_7956606451746_43794680774690,Shopping_ads
shopify_US_7956606484514_43794680741922,Shopping_ads
shopify_US_7956606517282_43794680709154,Shopping_ads
shopify_US_7956606550050_43794680676386,Shopping_ads
shopify_US_7956606582818_43794680643618,Shopping_ads
shopify_US_7956606615586_43794680610850,Shopping_ads
shopify_US_7956606648354_43794680578082,Shopping_ads
shopify_US_7956606681122_43794680545314,Shopping_ads
shopify_US_7956606713890_43794680512546,Shopping_ads
shopify_US_7956606746658_43794680479778,Shopping_ads
shopify_US_7956606779426_43794680447010,Shopping_ads
shopify_US_7956606812194_43794680414242,Shopping_ads
shopify_US_7956606844962_43794680381474,Shopping_ads
shopify_US_7956606877730_43794680348706,Shopping_ads
shopify_US_7956606910498_43794680315938,Shopping_ads
shopify_US_7956606943266_43794680283170,Shopping_ads
shopify_US_7956606976034_43794680250402,Shopping_ads
shopify_US_7956607008802_43794680217634,Shopping_ads
shopify_US_7956607041570_43794680184866,Shopping_ads
shopify_US_7956607074338_43794680152098,Shopping_ads
shopify_US_7956607107106_43794680119330,Shopping_ads
shopify_US_7956607139874_43794680086562,Shopping_ads
shopify_US_7956607172642_43794680053794,Shopping_ads
shopify_US_7956607205410_43794680021026,Shopping_ads
shopify_US_7956607238178_43794679988258,Shopping_ads
shopify_US_7956607270946_43794679889954,Shopping_ads
shopify_US_7956607303714_43794679857186,Shopping_ads
shopify_US_7956607336482_43794679824418,Shopping_ads
shopify_US_7956607369250_43794679791650,Shopping_ads
shopify_US_7956607402018_43794679758882,Shopping_ads
shopify_US_7956607434786_43794679726114,Shopping_ads
shopify_US_7956607467554_43794679693346,Shopping_ads
shopify_US_7956607500322_43794679660578,Shopping_ads
shopify_US_7956607533090_43794679627810,Shopping_ads
shopify_US_7956607565858_43794679595042,Shopping_ads
shopify_US_7956607598626_43794679562274,Shopping_ads
shopify_US_7956607631394_43794679529506,Shopping_ads
shopify_US_7956607664162_43794679496738,Shopping_ads
shopify_US_7956607696930_43794679463970,Shopping_ads
shopify_US_7956607729698_43794679365666,Shopping_ads
shopify_US_7956607762466_43794679332898,Shopping_ads
shopify_US_7956607795234_43794679300130,Shopping_ads
shopify_US_7956607828002_43794679267362,Shopping_ads
shopify_US_7956607860770_43794679201826,Shopping_ads
shopify_US_7956607893538_43794679136290,Shopping_ads
shopify_US_7956607959074_43794679070754,Shopping_ads
shopify_US_7956607991842_43794679005218,Shopping_ads
shopify_US_7956608024610_43794678906914,Shopping_ads
shopify_US_7956608057378_43794678841378,Shopping_ads
shopify_US_7956608090146_43794678775842,Shopping_ads
shopify_US_7956608155682_43794678710306,Shopping_ads
shopify_US_7956608188450_43794678644770,Shopping_ads
shopify_US_7956608221218_43794678579234,Shopping_ads
shopify_US_7956608253986_43794678513698,Shopping_ads
shopify_US_7956608286754_43794678448162,Shopping_ads
shopify_US_7956608319522_43794678382626,Shopping_ads
shopify_US_7956608352290_43794678317090,Shopping_ads
shopify_US_7956608385058_43794678218786,Shopping_ads
shopify_US_7956608417826_43794678153250,Shopping_ads
shopify_US_7956608450594_43794678087714,Shopping_ads
shopify_US_7956608483362_43794678022178,Shopping_ads
shopify_US_7956608516130_43794677956642,Shopping_ads
shopify_US_7956608548898_43794677891106,Shopping_ads
shopify_US_7956608581666_43794677825570,Shopping_ads
shopify_US_7956608614434_43794677760034,Shopping_ads
shopify_US_7956608647202_43794677661730,Shopping_ads
shopify_US_7956608679970_43794677628962,Shopping_ads
shopify_US_7956608712738_43794677596194,Shopping_ads
shopify_US_7956608745506_43794677563426,Shopping_ads
shopify_US_7956608778274_43794677530658,Shopping_ads
shopify_US_7956608811042_43794677497890,Shopping_ads
shopify_US_7956608843810_43794677465122,Shopping_ads
shopify_US_7956608876578_43794677432354,Shopping_ads
shopify_US_7956608909346_43794677399586,Shopping_ads
shopify_US_7956608974882_43794677366818,Shopping_ads
shopify_US_7956609007650_43794677334050,Shopping_ads
shopify_US_7956609040418_43794677301282,Shopping_ads
shopify_US_7956609073186_43794677268514,Shopping_ads
shopify_US_7956609105954_43794677235746,Shopping_ads
shopify_US_7956609138722_43794677202978,Shopping_ads
shopify_US_7956609171490_43794677170210,Shopping_ads
shopify_US_7956609204258_43794677137442,Shopping_ads
shopify_US_7956609237026_43794677104674,Shopping_ads
shopify_US_7956609269794_43794677071906,Shopping_ads
shopify_US_7956609302562_43794677039138,Shopping_ads
shopify_US_7956609335330_43794677006370,Shopping_ads
shopify_US_7956609368098_43794676973602,Shopping_ads
shopify_US_7956609400866_43794676940834,Shopping_ads
shopify_US_7956609433634_43794676908066,Shopping_ads
shopify_US_7956609466402_43794676875298,Shopping_ads
shopify_US_7956609499170_43794676842530,Shopping_ads
shopify_US_7956609531938_43794676809762,Shopping_ads
shopify_US_7956609564706_43794676776994,Shopping_ads
shopify_US_7956609597474_43794676744226,Shopping_ads
shopify_US_7956609630242_43794676711458,Shopping_ads
shopify_US_7956609663010_43794676678690,Shopping_ads
shopify_US_7956609695778_43794676645922,Shopping_ads
shopify_US_7956609728546_43794676613154,Shopping_ads
shopify_US_7956609761314_43794676580386,Shopping_ads
shopify_US_7956609794082_43794676547618,Shopping_ads
shopify_US_7956609826850_43794676514850,Shopping_ads
shopify_US_7956609859618_43794676482082,Shopping_ads
shopify_US_7956609892386_43794676449314,Shopping_ads
shopify_US_7956609925154_43794676416546,Shopping_ads
shopify_US_7956609957922_43794676383778,Shopping_ads
shopify_US_7956609990690_43794676351010,Shopping_ads
shopify_US_7956610023458_43794676285474,Shopping_ads
shopify_US_7956610056226_43794676252706,Shopping_ads
shopify_US_7956610088994_43794676219938,Shopping_ads
shopify_US_7956610121762_43794676187170,Shopping_ads
shopify_US_7956610154530_43794676154402,Shopping_ads
shopify_US_7956610187298_43794676121634,Shopping_ads
shopify_US_7956610220066_43794676088866,Shopping_ads
shopify_US_7956610252834_43794676056098,Shopping_ads
shopify_US_7956610285602_43794676023330,Shopping_ads
shopify_US_7956610318370_43794675990562,Shopping_ads
shopify_US_7956610351138_43794675957794,Shopping_ads
shopify_US_7956610383906_43794675925026,Shopping_ads
shopify_US_7956610416674_43794675892258,Shopping_ads
shopify_US_7956610449442_43794675859490,Shopping_ads
shopify_US_7956610482210_43794675597346,Shopping_ads
shopify_US_7956610514978_43794675564578,Shopping_ads
shopify_US_7956610547746_43794675531810,Shopping_ads
shopify_US_7956610613282_43794675499042,Shopping_ads
shopify_US_7956610646050_43794675466274,Shopping_ads
shopify_US_7956610678818_43794675433506,Shopping_ads
shopify_US_7956610711586_43794675400738,Shopping_ads
shopify_US_7956610744354_43794675367970,Shopping_ads
shopify_US_7956610777122_43794675335202,Shopping_ads
shopify_US_7956610809890_43794675302434,Shopping_ads
shopify_US_7956610842658_43794675269666,Shopping_ads
shopify_US_7956610875426_43794675236898,Shopping_ads
shopify_US_7956610908194_43794675204130,Shopping_ads
shopify_US_7956610940962_43794675171362,Shopping_ads
shopify_US_7956611006498_43794675138594,Shopping_ads
shopify_US_7956611039266_43794675105826,Shopping_ads
shopify_US_7956611072034_43794675073058,Shopping_ads
shopify_US_7956611104802_43794675040290,Shopping_ads
shopify_US_7956611137570_43794675007522,Shopping_ads
shopify_US_7956611170338_43794674974754,Shopping_ads
shopify_US_7956611203106_43794674941986,Shopping_ads
shopify_US_7956611235874_43794674909218,Shopping_ads
shopify_US_7956611268642_43794674876450,Shopping_ads
shopify_US_7956611301410_43794674843682,Shopping_ads
shopify_US_7956611334178_43794674810914,Shopping_ads
shopify_US_7956611366946_43794674778146,Shopping_ads
shopify_US_7956611399714_43794674745378,Shopping_ads
shopify_US_7956611432482_43794674712610,Shopping_ads
shopify_US_7956611465250_43794674679842,Shopping_ads
shopify_US_7956611498018_43794674647074,Shopping_ads
shopify_US_7956611530786_43794674614306,Shopping_ads
shopify_US_7956611563554_43794674581538,Shopping_ads
shopify_US_7956611596322_43794674548770,Shopping_ads
shopify_US_7956611629090_43794674516002,Shopping_ads
shopify_US_7956611661858_43794674188322,Shopping_ads
shopify_US_7956611694626_43794674155554,Shopping_ads
shopify_US_7956611727394_43794674122786,Shopping_ads
shopify_US_7956611760162_43794674057250,Shopping_ads
shopify_US_7956611792930_43794674024482,Shopping_ads
